SurveyLines,input_path,output_path
Line0002_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0002_20210301_102650_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0002_20210301_102650.csv
Line0003_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0003_20210301_103657_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0003_20210301_103657.csv
Line0010_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0010_20210301_115103_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0010_20210301_115103.csv
Line0011_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0011_20210301_120026_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0011_20210301_120026.csv
Line0014_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0014_20210301_125945_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0014_20210301_125945.csv
Line0015_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0015_20210301_130853_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0015_20210301_130853.csv
Line0016_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0016_20210301_132410_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0016_20210301_132410.csv
Line0017_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0017_20210301_133314_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0017_20210301_133314.csv
Line0018_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0018_20210301_134222_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0018_20210301_134222.csv
Line0004_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0004_20210301_104739_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0004_20210301_104739.csv
Line0005_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0005_20210301_105734_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0005_20210301_105734.csv
Line0006_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0006_20210301_110849_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0006_20210301_110849.csv
Line0007_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0007_20210301_111831_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0007_20210301_111831.csv
Line0008_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0008_20210301_112948_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0008_20210301_112948.csv
Line0009_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0009_20210301_113919_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0009_20210301_113919.csv
Line0012_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0012_20210301_121419_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0012_20210301_121419.csv
Line0013_0095_6565_21430,D:/TimbersWCData/ASCII_Export_20210301/0013_20210301_122325_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210301_VLIZ_TIMBERS/0013_20210301_122325.csv
