SurveyLines,input_path,output_path
Line0000_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0000_20210528_093812_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0000_20210528_093812.csv
Line0001_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0001_20210528_105011_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0001_20210528_105011.csv
Line0002_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0002_20210528_105946_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0002_20210528_105946.csv
Line0003_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0003_20210528_111324_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0003_20210528_111324.csv
Line0004_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0004_20210528_112305_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0004_20210528_112305.csv
Line0005_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0005_20210528_113253_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0005_20210528_113253.csv
Line0010_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0010_20210528_120411_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0010_20210528_120411.csv
Line0011_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0011_20210528_121327_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0011_20210528_121327.csv
Line0012_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0012_20210528_122244_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0012_20210528_122244.csv
Line0013_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0013_20210528_123152_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0013_20210528_123152.csv
Line0014_0095_6565_21430,F:/VLIZ/TimbersWCdata_ALL/ASCII_Export_20210528/tobeingested/0014_20210528_124059_SimonStevin_Mask_Tide_Sv_db100-0_0095_6565_LL_PolarEchograms.csv,data/tmp/20210528_VLIZ_TIMBERS/0014_20210528_124059.csv
